Distance (m),Longitude,Latitude,Elevation (m)
30565.61198,-124.333834,45.93626535,0
30716.92689,-124.3317506,45.93634872,0
30868.2418,-124.3296671,45.9364321,0
31019.55671,-124.3275837,45.93651547,0
31170.87163,-124.3255002,45.93659884,0
31322.18654,-124.3234167,45.93668221,0
31473.50145,-124.3213333,45.93676558,0
31624.81636,-124.3192498,45.93684895,0
31776.13127,-124.3171664,45.93693233,0
31927.44618,-124.3150829,45.9370157,0
32078.76109,-124.3129994,45.93709907,0
32230.076,-124.310916,45.93718244,0
32381.39091,-124.3088325,45.93726581,0
32532.70582,-124.3067491,45.93734918,0
32684.02073,-124.3046656,45.93743256,0
32835.33564,-124.3025821,45.93751593,0
32986.65056,-124.3004987,45.9375993,0
33137.96547,-124.2984152,45.93768267,0
33289.28038,-124.2963318,45.93776604,0
33440.59529,-124.2942483,45.93784942,0
33591.9102,-124.2921648,45.93793279,0
33743.22511,-124.2900814,45.93801616,0
33894.54002,-124.2879979,45.93809953,0
34045.85493,-124.2859145,45.9381829,0
34197.16984,-124.283831,45.93826627,0
34348.48475,-124.2817475,45.93834965,0
34499.79966,-124.2796641,45.93843302,0
34651.11457,-124.2775806,45.93851639,0
34802.42948,-124.2754972,45.93859976,0
34953.7444,-124.2734137,45.93868313,0
35105.05931,-124.2713303,45.93876651,0
35256.37422,-124.2692468,45.93884988,0
35407.68913,-124.2671633,45.93893325,0
35559.00404,-124.2650799,45.93901662,0
35710.31895,-124.2629964,45.93909999,0
35861.63386,-124.260913,45.93918336,0
36012.94877,-124.2588295,45.93926674,0
36164.26368,-124.256746,45.93935011,0
36315.57859,-124.2546626,45.93943348,0
36466.8935,-124.2525791,45.93951685,0
36618.20841,-124.2504957,45.93960022,0
36769.52333,-124.2484122,45.93968359,0
36920.83824,-124.2463287,45.93976697,0
37072.15315,-124.2442453,45.93985034,0
37223.46806,-124.2421618,45.93993371,0
37374.78297,-124.2400784,45.94001708,0
37526.09788,-124.2379949,45.94010045,0
37677.41279,-124.2359114,45.94018383,0
37828.7277,-124.233828,45.9402672,0
37980.04261,-124.2317445,45.94035057,0
38131.35752,-124.2296611,45.94043394,0
38282.67243,-124.2275776,45.94051731,0
38433.98734,-124.2254941,45.94060068,0
38585.30226,-124.2234107,45.94068406,0
38736.61717,-124.2213272,45.94076743,0
38887.93208,-124.2192438,45.9408508,0
39039.24699,-124.2171603,45.94093417,0
39190.5619,-124.2150769,45.94101754,0
39341.87681,-124.2129934,45.94110092,0
39493.19172,-124.2109099,45.94118429,0
39644.50663,-124.2088265,45.94126766,0
39795.82154,-124.206743,45.94135103,0
39947.13645,-124.2046596,45.9414344,0
40098.45136,-124.2025761,45.94151777,0
40249.76627,-124.2004926,45.94160115,0
40401.08118,-124.1984092,45.94168452,0
40552.3961,-124.1963257,45.94176789,0
40703.71101,-124.1942423,45.94185126,0
40855.02592,-124.1921588,45.94193463,0
41006.34083,-124.1900753,45.942018,0
41157.65574,-124.1879919,45.94210138,0
41308.97065,-124.1859084,45.94218475,0
41460.28556,-124.183825,45.94226812,0
41611.60047,-124.1817415,45.94235149,0
41762.91538,-124.179658,45.94243486,0
41914.23029,-124.1775746,45.94251824,0
42065.5452,-124.1754911,45.94260161,0
42216.86011,-124.1734077,45.94268498,0
42368.17503,-124.1713242,45.94276835,0
42519.48994,-124.1692407,45.94285172,0
42670.80485,-124.1671573,45.94293509,0
42822.11976,-124.1650738,45.94301847,0
42973.43467,-124.1629904,45.94310184,0
43124.74958,-124.1609069,45.94318521,0
43276.06449,-124.1588235,45.94326858,0
43427.3794,-124.15674,45.94335195,0
43578.69431,-124.1546565,45.94343533,0
43730.00922,-124.1525731,45.9435187,0
43881.32413,-124.1504896,45.94360207,0
44032.63904,-124.1484062,45.94368544,0
44183.95395,-124.1463227,45.94376881,0
44335.26887,-124.1442392,45.94385218,0
44486.58378,-124.1421558,45.94393556,0
44637.89869,-124.1400723,45.94401893,0
44789.2136,-124.1379889,45.9441023,0
44940.52851,-124.1359054,45.94418567,0
45091.84342,-124.1338219,45.94426904,0
45243.15833,-124.1317385,45.94435241,0
45394.47324,-124.129655,45.94443579,0
45545.78815,-124.1275716,45.94451916,0
45697.10306,-124.1254881,45.94460253,0
45848.41797,-124.1234046,45.9446859,0
45999.73288,-124.1213212,45.94476927,0
46151.0478,-124.1192377,45.94485265,0
46302.36271,-124.1171543,45.94493602,0
46453.67762,-124.1150708,45.94501939,0
46604.99253,-124.1129873,45.94510276,0
46756.30744,-124.1109039,45.94518613,0
46907.62235,-124.1088204,45.9452695,0
47058.93726,-124.106737,45.94535288,0
47210.25217,-124.1046535,45.94543625,0
47361.56708,-124.1025701,45.94551962,0
47512.88199,-124.1004866,45.94560299,0
47664.1969,-124.0984031,45.94568636,0
47815.51181,-124.0963197,45.94576974,0
47966.82672,-124.0942362,45.94585311,0
48118.14164,-124.0921528,45.94593648,0
48269.45655,-124.0900693,45.94601985,0
48420.77146,-124.0879858,45.94610322,0
48572.08637,-124.0859024,45.94618659,0
48723.40128,-124.0838189,45.94626997,0
48874.71619,-124.0817355,45.94635334,0
49026.0311,-124.079652,45.94643671,0
49177.34601,-124.0775685,45.94652008,0
49328.66092,-124.0754851,45.94660345,0
49479.97583,-124.0734016,45.94668683,0
49631.29074,-124.0713182,45.9467702,0
49782.60565,-124.0692347,45.94685357,0
49933.92057,-124.0671512,45.94693694,0
50085.23548,-124.0650678,45.94702031,0
50236.55039,-124.0629843,45.94710368,0
50387.8653,-124.0609009,45.94718706,0
50539.18021,-124.0588174,45.94727043,0
50690.49512,-124.0567339,45.9473538,0
50841.81003,-124.0546505,45.94743717,0
50993.12494,-124.052567,45.94752054,0
51144.43985,-124.0504836,45.94760391,0
51295.75476,-124.0484001,45.94768729,0
51447.06967,-124.0463167,45.94777066,0
51598.38458,-124.0442332,45.94785403,0
51749.69949,-124.0421497,45.9479374,0
51901.01441,-124.0400663,45.94802077,0
52052.32932,-124.0379828,45.94810415,0
52203.64423,-124.0358994,45.94818752,0
52354.95914,-124.0338159,45.94827089,0
52506.27405,-124.0317324,45.94835426,0
52657.58896,-124.029649,45.94843763,0
52808.90387,-124.0275655,45.948521,0
52960.21878,-124.0254821,45.94860438,0
53111.53369,-124.0233986,45.94868775,0
53262.8486,-124.0213151,45.94877112,0
53414.16351,-124.0192317,45.94885449,0
53565.47842,-124.0171482,45.94893786,0
53716.79334,-124.0150648,45.94902124,0
53868.10825,-124.0129813,45.94910461,0
54019.42316,-124.0108978,45.94918798,0
54170.73807,-124.0088144,45.94927135,0
54322.05298,-124.0067309,45.94935472,0
54473.36789,-124.0046475,45.94943809,0
54624.6828,-124.002564,45.94952147,0
54775.99771,-124.0004805,45.94960484,0
54927.31262,-123.9983971,45.94968821,0
55078.62753,-123.9963136,45.94977158,0
55229.94244,-123.9942302,45.94985495,0
55381.25735,-123.9921467,45.94993832,0
55532.57227,-123.9900633,45.9500217,0
55683.88718,-123.9879798,45.95010507,0
55835.20209,-123.9858963,45.95018844,5
55986.517,-123.9838129,45.95027181,60
56137.83191,-123.9817294,45.95035518,137
56289.14682,-123.979646,45.95043856,185
56440.46173,-123.9775625,45.95052193,251
56591.77664,-123.975479,45.9506053,317
56743.09155,-123.9733956,45.95068867,316
56894.40646,-123.9713121,45.95077204,288
57045.72137,-123.9692287,45.95085541,270
57197.03628,-123.9671452,45.95093879,244
57348.35119,-123.9650617,45.95102216,195
57499.66611,-123.9629783,45.95110553,198
57650.98102,-123.9608948,45.9511889,255
57802.29593,-123.9588114,45.95127227,218
57953.61084,-123.9567279,45.95135565,190
58104.92575,-123.9546444,45.95143902,218
58256.24066,-123.952561,45.95152239,228
58407.55557,-123.9504775,45.95160576,235
58558.87048,-123.9483941,45.95168913,235
58710.18539,-123.9463106,45.9517725,212
58861.5003,-123.9442271,45.95185588,199
59012.81521,-123.9421437,45.95193925,197
59164.13012,-123.9400602,45.95202262,188
59315.44504,-123.9379768,45.95210599,193
59466.75995,-123.9358933,45.95218936,164
59618.07486,-123.9338099,45.95227273,135
59769.38977,-123.9317264,45.95235611,62
59920.70468,-123.9296429,45.95243948,13
60072.01959,-123.9275595,45.95252285,8
60223.3345,-123.925476,45.95260622,12
60374.64941,-123.9233926,45.95268959,41
60525.96432,-123.9213091,45.95277297,72
60677.27923,-123.9192256,45.95285634,58
60828.59414,-123.9171422,45.95293971,74
60979.90905,-123.9150587,45.95302308,94
61131.22396,-123.9129753,45.95310645,107
61282.53888,-123.9108918,45.95318982,74
61433.85379,-123.9088083,45.9532732,60
61585.1687,-123.9067249,45.95335657,71
61736.48361,-123.9046414,45.95343994,89
61887.79852,-123.902558,45.95352331,107
62039.11343,-123.9004745,45.95360668,113
62190.42834,-123.898391,45.95369006,130
62341.74325,-123.8963076,45.95377343,137
62493.05816,-123.8942241,45.9538568,138
62644.37307,-123.8921407,45.95394017,158
62795.68798,-123.8900572,45.95402354,176
62947.00289,-123.8879737,45.95410691,160
63098.31781,-123.8858903,45.95419029,185
63249.63272,-123.8838068,45.95427366,196
63400.94763,-123.8817234,45.95435703,213
63552.26254,-123.8796399,45.9544404,217
63703.57745,-123.8775564,45.95452377,229
63854.89236,-123.875473,45.95460714,216
64006.20727,-123.8733895,45.95469052,221
64157.52218,-123.8713061,45.95477389,235
64308.83709,-123.8692226,45.95485726,258
64460.152,-123.8671392,45.95494063,286
64611.46691,-123.8650557,45.955024,315
64762.78182,-123.8629722,45.95510738,328
64914.09673,-123.8608888,45.95519075,344
65065.41165,-123.8588053,45.95527412,373
65216.72656,-123.8567219,45.95535749,396
65368.04147,-123.8546384,45.95544086,415
65519.35638,-123.8525549,45.95552423,429
65670.67129,-123.8504715,45.95560761,451
65821.9862,-123.848388,45.95569098,459
65973.30111,-123.8463046,45.95577435,456
66124.61602,-123.8442211,45.95585772,427
66275.93093,-123.8421376,45.95594109,433
66427.24584,-123.8400542,45.95602447,450
66578.56075,-123.8379707,45.95610784,475
66729.87566,-123.8358873,45.95619121,527
66881.19058,-123.8338038,45.95627458,555
67032.50549,-123.8317203,45.95635795,534
67183.8204,-123.8296369,45.95644132,506
67335.13531,-123.8275534,45.9565247,474
67486.45022,-123.82547,45.95660807,471
67637.76513,-123.8233865,45.95669144,476
67789.08004,-123.821303,45.95677481,458
67940.39495,-123.8192196,45.95685818,465
68091.70986,-123.8171361,45.95694155,473
68243.02477,-123.8150527,45.95702493,496
68394.33968,-123.8129692,45.9571083,518
68545.65459,-123.8108858,45.95719167,548
68696.96951,-123.8088023,45.95727504,574
68848.28442,-123.8067188,45.95735841,562
68999.59933,-123.8046354,45.95744179,547
69150.91424,-123.8025519,45.95752516,528
69302.22915,-123.8004685,45.95760853,544
69453.54406,-123.798385,45.9576919,530
69604.85897,-123.7963015,45.95777527,530
69756.17388,-123.7942181,45.95785864,556
69907.48879,-123.7921346,45.95794202,566
70058.8037,-123.7900512,45.95802539,584
70210.11861,-123.7879677,45.95810876,599
70361.43352,-123.7858842,45.95819213,565
70512.74843,-123.7838008,45.9582755,477
70664.06335,-123.7817173,45.95835888,443
70815.37826,-123.7796339,45.95844225,395
70966.69317,-123.7775504,45.95852562,368
71118.00808,-123.7754669,45.95860899,337
71269.32299,-123.7733835,45.95869236,313
71420.6379,-123.7713,45.95877573,315
71571.95281,-123.7692166,45.95885911,337
71723.26772,-123.7671331,45.95894248,335
71874.58263,-123.7650496,45.95902585,317
72025.89754,-123.7629662,45.95910922,291
72177.21245,-123.7608827,45.95919259,272
72328.52736,-123.7587993,45.95927597,271
72479.84228,-123.7567158,45.95935934,280
72631.15719,-123.7546324,45.95944271,285
72782.4721,-123.7525489,45.95952608,272
72933.78701,-123.7504654,45.95960945,259
73085.10192,-123.748382,45.95969282,249
73236.41683,-123.7462985,45.9597762,245
73387.73174,-123.7442151,45.95985957,239
73539.04665,-123.7421316,45.95994294,227
73690.36156,-123.7400481,45.96002631,242
73841.67647,-123.7379647,45.96010968,270
73992.99138,-123.7358812,45.96019305,282
74144.30629,-123.7337978,45.96027643,306
74295.6212,-123.7317143,45.9603598,323
